prepro,encoding
i didn t watch that kabir singh movie but i watched telugu rsion arjun ready reluctaly i agree with shwetabh but in arjun ready hero will mo on gi up his bad habits after his grandmother s death and not for that girl though he has bad habits i felt his character was genuine he didn t not wa to escape from punishme or karma for his deeds he agrees his crime in the court he didn t not wa to escape like a coward and lastly he knew that he is wrong he knew that this is a phase in his life he knew he is going to be changed and wa to change but can t because he is addicted sincerely i didn t like shwetabh s poi of view for the first time may they changed story line because of bollywood s pressure,0
the undercor rock stars excelle work,0
only here to dislike this randi,2
i like your spitch,0
see the rotten face arundhati roy with stinking ideas spreading odour all around en pig look beautiful than this aged sow,0
ar is not a patriot,0
is to good bro,0
kabir singh vs halfgirlfrnd vs shaadi me jaurur aana,0
brother you talk to you right,0
really now a days ayushmaan khurana one of the best realistic hero thank you for meion this,0
right you are right absolutely a huge respect,0
borade just saw mins of the video you recommend and seems like you write your own dictionary sorry but i would be following other dictionaries like cambridge and merriam webster,1
who is watching this after india beat afganistan in world cup,0
feminism means equality not discrimination first you should learn about this go and study about feminism,2
star there are some unwaed guests in your house only you n your wife are earning working hard to impro economic conditions of your family how long will you keep these guests who came uninformed using your and your children s resources and coributing nothing to your family further these issues are long kept unresold inspite of supreme court s suggestion that they should be resold urgely abo all what right she has to mislead these guests and tell them you fight with family members and be here illegally shame on us we call her iellectual,1
best reply to feminists liberals www youtube com results search query is a best movie,0
send ranu randy to rachi,2
most honest and elaborate review thank u sir from gujarat jai shri ram,0
being gay is wrong and it is a choice,0
he already uploaded quick review,0
dislikes seems three the those wis who ha filed false case,1
gobinda barman all right,0
u r giving wrong message about gays,0
yes angers and fast and furious are extremely realistic bloody anpadh gawar hypocrite loser,2
watch it in x,0
why this arundhuti is allowed to come to india,0
do just one change to yourself avoid ma chod di gaali it s a ry ry bad manners it ruins your character please,0
ranga and billa did they rape arundhati roy on her request to enjoy illicit sex,0
true and honest review on youtube fak fake pplz,0
janwar black fancy dawood aarushi choudhary,0
bhai phod raha hoon subeh se ko gym phir college cardio meditation and now deep study,0
this guy is husband material where are guys like these,1
a big thanks for making this video i was explaining the exact thing to my friend days ago and here you uploaded the video on this topic,0
kabir singh movie is just for eertainme t connect to this story to ur life becoz onscreen and offscreen mai bhut difference hai,0
just what you need when you watch a hyped movie and you are the only person who see absolute nonsense in the characters of the leads and when you speak the same to people around it s all about shahid ki movie thi absolute rubbish ideas being serd in the society via movies,1
absolutely lod your review,0
u r great lo from bangladesh,0
really you tried to analyze the cinematography of the movie joker and so much sympathy on the character if someone like a depressed person got inspired by this movie and kills a person then what stop this oraction and try to watch kabir singh from technical poi of view like what u did for joker t gi lectures on how the character should beha in the movie like kabir took drugs and left preeti so he is not responsible shut the f up sandeep vanga is going to direct a crime movie prepare some pois on how the characters should beha in that upcoming movie and send it to sandeep stupid,1
its my first time that i am so early,0
en shahid himself does not like role of,0
now a days you talk more about feminist and liberals rather than taking about the movie,1
who is this lady kasturi why is she here,0
bastardized arundhati s shop shut down so in frustration she is burbling nonsense,2
saikia first of all if my words were harsh then accept my apologies i am a researcher in engineering by profession and i just belie in the facts and technical reasons only so the behavior of any male is completely depends on how his pares raise him and what he s been taught at home nothing else can change once opinion specially films if we teach eryone that its not real and its just for fun and imagination please t feel so offensi because most of the mans are ry good en you might ha friends in boys on whom you can trust one more thing i like iron man so what does it mean should i start jumping from buildings to follow him its about our born brought up lessons madam from which we are quite able to decide what to learn and what not to by the way if some guy is bad then nothing can be e because he will sees the negativity around and will do wrong things only for such persons jail is right place please www youtube com results search query please understand my poi of view,1
also he is topper of college kabir,0
