prepro,encoding
u deser more subscribers u really great,0
sorry if i bother somebody iam a defence aspira and i think that homosexual shouldn t be allowed to join army as a general duty personnel as we know that a differe kind of atmosphere is there they ha a ry harsh routine there abusing hard workouts unbearable pain unbearable punishme and manhandling for sere mistakes mainly in probation period is normal when such type of thing will happen to them they could get a feeling of discrimination which is clearly not hower they can join clerical medical supply signal corps as upper meion hardness is of less magnitude there,0
joker was amazing it was not glamorised but kabir singh was tatti x,0
she telling to gi the fake information it shows her misguiding the people s,0
c whateva u said is true these geniuses think dat this self destructi lifestyle is a good way to go for men,0
lo your review and movie awesome hai,0
i hate ranu mondal,2
gis fake id no issue n say goodbye to all ths subcidy n other benefits,2
she must be se to jail for ai national activities under nsa and psa,0
excelle job if law can t gi you justice take it by yourself,0
i m also a lesbian girl and i m proud of myself,0
if she is promoting violence then adarniya mp s mla s should be jailed first from bjp arnab sahab or might ha not gone through their so called bhasan still now ur in ambiguity,0
www youtube com watch v n zmfqmzos t m s can t stop laughing,0
nice video bud this is a tight slap on feminists who are vomiting on twitter and think they are superior by looking down on men,2
arundhati s hairstyle is inspired by dr mashahoor gulati,0
modi n amit are the criminals and murderer,0
arrested for what know a little about our constitution let s see who will arrest her,0
such a suppressi thinking you are such an ignora get the definition of feminism right ignorance is a curse to humanity i think you need to read and impro your ideology,2
the problem is they t care about the nation nation building is the duty of movies,0
please post videos in mensutra channel also,0
there ha been so so many movies wherein women abusing men hitting them and making derogatory commes on them exist compared to that in a greater exte if we are talking about equality there are so many laws and reservations and commissions for the empowerme of women which take suo moto cognizance on movies such as these there are none to criticize movies like mardaani pink gangajal or movies like ere di wedding which humiliate men or prese male characters as oppressors,1
when npr ask your father name tell them king fu kutta this idiots clapping as well,0
take legal action against arundhati it s like asking people to mislead by giving false information for legal records it s a crime arrest her,0
my review i lod it i lod the hell out of it not because i fanboy or kabir singh and his dominating ways not because i liked how he corolled or the eire college campus and marking the girl no if i d met someone like kabir singh i d ha ner accepted him i lod because of the storytelling itself it wasn t a usual story of boy meets girl face problems get married or i lod how flawed both characters were because of which it felt so real at some parts you could feel the emotions the anxiety the chemistry between the two leads in many movies you t really feel for a couple like they r just put out there for the sake of the movie but here they made sense in their own imperfect ways i lod how flawed kabir was it made him more human i hated his ways but or the course of time so many things happen to him and he does grow i t know why some critics think this movie is glorifying anger macho behaviour dominance and alcohol in the movie no one encourages to do these things infact if i remember correctly his pares brother friends principal all of them tell him to stop they clearly state it s wrong and he faces the consequences for that his temporary suspension from college his father throwing him out of the house a case registered against him losing his medical license for a few years these were all the result of his behaviour and habits very later on if these kabir haters obserd they would see a growth in his behaviour he stops drinking gathers a little patience and reflects on his life if he was a totally shit character to you ppl he wouldn t ha told the truth during the court hearing he wouldn t ha felt guilty at all and would ha coinued to beha like that despite his issues he cared for his paties as for his behaviour with preeti he was sweet and loving with her most of the time yes he claimed her and all in the beginning he ner once forced her anything preeti wasn t obligated to anything you see if she didn t like going out with him she would ha refused it from the get go but she clearly liked it it was her personal choice kabir slapped her but pretti slapped him too multiple times it was preeti who made the first mo to kiss him it was preeti who begged him not to go was that kabir doing it too both of them faced many things they deserd their happy ending if only two ppl in lo were allowed to married in reality as well,0
please do a review on joker,0
m mahfuz reza as your wish mahfuz,0
this should happen with ery bastard indian woman who enjoys destroying innoce men good job jahangir,2
now a days its become a tact for girls to snatch money from boys family shame on girls for misusing it,1
that s her pick up line that nobody listens,0
most honest and elaborate review thank u sir from gujarat jai shri ram,0
the fault if the blind gynoceric legal system,1
just take it time pass nothing else,0
the woman looks like a witch incarnate,0
good job don t stop doing ur job okay,0
i lo you miya,0
my freedom of expression gi arundhati roy a big banana to suck she will enjoy it and she will keep sile she is making up herself to look young to attract young banana,1
ry well e salute to this guy,0
sir i lod watching your videos i was a regular viewer but please stop making these things personal you are a reviewer these things are not expected from you i m not a feminist but respecting a woman is not what comes under any feminism respecting another human is knows as humanity not feminism i m not getting personal because of this movie i hope you t too en i hate so called feminists but it s not about that it s basic sir i hope you get it i m a medical stude woman who will become a doctor ha to ha strength she didn t lo is supposed to gi us strength not the way it made him feel depressed it was toxic for him too,0
iellectuals and the so called secular are more uneducated and illiterate people ner trust them,0
sir please upload the names of books which you read to delop mindset this please please please please,0
gosami is rss aja,0
wright according to me the best indian youtube channel for awarness swetabh gangwar salil jamdar the satya show sandeep maheswari,0
thankyou for the quote that u put back there it helped me,0
bollywood is nothing but a big fucking crap t take them seriously i t yeah some of them are quite good but only some of them viewing discretion adviced,0
so called iellectuals ki mc,2
rnpr database must be populated with all data needed to make india next world power as quick as possible,0
ayushmaan khuraana is the best thing in bollywood,0
she needs some kind of phyctric help,0
glad to know that en some boys can dislike singh good to know,0
please sir make video on some pois on mangalayan movie good movie but some scenes shows radical feminism like touching private part of men beating men on metro etc,0
you are away from reality and ha ry less knowledge you only focuses on surface ry unfortunate,1
it is just a play enjoy it by watching if ur not ierested t watch then t compare it with real life see the way they acted in the movie their hard work to do the movie,1
i am not a fan but i think you are stretching it too much according to you movies and tv series like godfather peaky blinders should ner ha been made as they glorify violence evrything shouldn t be connected to message and all it s irritating akshya kumar is doing it nowadays and it s so fucking irritating,2
